"Recommendation","Image","Pc","Group","Spu","Fit","Dispatch","Records","RunsSeen","PatternCount","EaCount","TotalBytes","RsxBytes","Total","Get","Put","ListGet","ListPut","Rsx","MaxJob"
"spu-hle-codegen-priority","0x958dfe208b686622","0x25cc","CellSpursKernelGroup","CellSpursKernel0","spu-kernel-hle","tiny-dispatch-trap","4340","6","159","1","7363123920","0","6.86 GB","1.01 GB","5.84 GB","0 B","0 B","0 B","6.16 MB"
"spu-hle-codegen-priority","0x958dfe208b686622","0x451c","TCX_CellSpursKernelGroup","TCX_CellSpursKernel0","spu-kernel-hle","tiny-dispatch-trap","2397","6","2397","12","5890130896","0","5.49 GB","1,012.09 MB","2.03 GB","2.46 GB","0 B","0 B","27.59 MB"
"too-small-parked","0x958dfe208b686622","0x451c","TCX_CellSpursKernelGroup","TCX_CellSpursKernel0","too-small","tiny-dispatch-trap","2208","6","2208","36","1446892048","0","1.35 GB","265.38 MB","498.90 MB","615.58 MB","0 B","0 B","1,023.55 KB"
"too-small-parked","0x958dfe208b686622","0x451c","TCX_CellSpursKernelGroup","TCX_CellSpursKernel0","too-small","needs-batching","385","6","385","16","75869696","0","72.35 MB","15.68 MB","24.15 MB","32.53 MB","0 B","0 B","436.86 KB"
"spu-hle-codegen-candidate","0x958dfe208b686622","0x451c","TCX_CellSpursKernelGroup","TCX_CellSpursKernel1","spu-kernel-hle","tiny-dispatch-trap","2","2","2","2","7242720","0","6.91 MB","1.25 MB","2.64 MB","3.02 MB","0 B","0 B","3.62 MB"
"too-small-parked","0x958dfe208b686622","0x25cc","CellSpursKernelGroup","CellSpursKernel0","too-small","needs-batching","4","4","2","1","2480576","0","2.37 MB","463.44 KB","1.91 MB","0 B","0 B","0 B","788.61 KB"
"too-small-parked","0x958dfe208b686622","0x451c","TCX_CellSpursKernelGroup","TCX_CellSpursKernel0","too-small","low","286","6","115","16","2194176","0","2.09 MB","1,014.33 KB","347.47 KB","780.95 KB","0 B","0 B","105.23 KB"
"too-small-parked","0x958dfe208b686622","0x25cc","CellSpursKernelGroup","CellSpursKernel0","too-small","low","2","2","1","1","613856","0","599.47 KB","109.72 KB","489.75 KB","0 B","0 B","0 B","299.73 KB"
