"Mode","Run","HotPcRecords","HotPcBytes","HotPcTotal","HotPcTopEa","ExactVerifyRows","ExactVerifyHits","ExactVerifyBytes","ExactVerifyTotal","ExactVerifyShareOfHotPc","ExactShadowRows","ExactShadowBytes","ExactShadowTotal","OutputMismatches","DstChanged","SkipHits","SkipBytes","SkipTotal","SkipMisses","SkipShareOfHotPc","SkipShareOfExactVerify","TitleSamples","TitleAverageFps","TitleMedianFps","TitleMaxFps"
"Verify","20260524-125346-hle-shadow-verify-titlecsv-uncap240-field-windows-windows","312","525630177","501.28 MB","0x9e4000","311","4665","76431360","72.89 MB","14.54%","311","5095424","4.86 MB","0","0","0","0","0 B","0","0.00%","0.00%","8","116.57","117.88","120.17"
"Skip","20260524-125942-hle-shadow-skip-titlecsv-uncap240-field-windows-windows","356","601568051","573.70 MB","0x9e4000","355","5325","87244800","83.20 MB","14.50%","355","5816320","5.55 MB","0","0","355","5816320","5.55 MB","0","0.97%","6.67%","8","111.33","112.80","116.24"
