"rank","pattern_sig","atlas_bytes","runtime_records","runtime_bytes","runtime_get_bytes","runtime_put_bytes","runtime_get_share","runtime_put_share","max_cmd_count","body_gap","native_contract"
"1","0x209c1716c9de855f","506333120","48","76911360","11993088","64918272","15.6%","84.4%","159","put-heavy-get-only-body-caps-coverage","verify-put-and-get-shadow-by-pattern-before-bodyfast"
"2","0xf7bf30bddad5855f","535174880","39","62490480","9744384","52746096","15.6%","84.4%","159","put-heavy-get-only-body-caps-coverage","verify-put-and-get-shadow-by-pattern-before-bodyfast"
"3","0x4318b5fc803b855f","482298320","38","60888160","9494528","51393632","15.6%","84.4%","159","put-heavy-get-only-body-caps-coverage","verify-put-and-get-shadow-by-pattern-before-bodyfast"
"4","0x30540805202a855f","515947040","38","60888160","9494528","51393632","15.6%","84.4%","159","put-heavy-get-only-body-caps-coverage","verify-put-and-get-shadow-by-pattern-before-bodyfast"
"5","0xb86b87ed0d1f8093","202288752","16","26313984","3997696","22316288","15.2%","84.8%","173","put-heavy-get-only-body-caps-coverage","verify-put-and-get-shadow-by-pattern-before-bodyfast"
