"Hint","Ea","Pattern","MaxDmaSize","CmdCount","OffloadFit","DispatchRisk","Records","RunsSeen","TotalBytes","Total","ShareOf25cc","Get","Put","RsxBytes","Rsx","DurationUs","DurationMs","MaxJob"
"broaden-25cc-verify-ea-family","0x9e4000","0xf7bf30bddad5855f","16384","159","spu-kernel-hle","tiny-dispatch-trap","334","6","535174880","510.38 MB","7.27%","79.59 MB","430.80 MB","0","0 B","2943292","2,943.292","1.53 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x30540805202a855f","16384","159","spu-kernel-hle","tiny-dispatch-trap","322","6","515947040","492.05 MB","7.00%","76.73 MB","415.32 MB","0","0 B","3163505","3,163.505","1.53 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x209c1716c9de855f","16384","159","spu-kernel-hle","tiny-dispatch-trap","316","6","506333120","482.88 MB","6.87%","75.30 MB","407.58 MB","0","0 B","2601205","2,601.205","1.53 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x4318b5fc803b855f","16384","159","spu-kernel-hle","tiny-dispatch-trap","301","6","482298320","459.96 MB","6.55%","71.72 MB","388.23 MB","0","0 B","2968541","2,968.541","1.53 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x9c4d64ff0a1c9823","16384","317","spu-kernel-hle","tiny-dispatch-trap","162","4","286708896","273.43 MB","3.89%","38.60 MB","234.83 MB","0","0 B","1080789","1,080.789","1.69 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x95cedb5ff3de9823","16384","317","spu-kernel-hle","tiny-dispatch-trap","145","4","256622160","244.73 MB","3.48%","34.55 MB","210.18 MB","0","0 B","952649","952.649","1.69 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0xc4e7ec394d77f62b","16384","316","spu-kernel-hle","tiny-dispatch-trap","144","4","254133504","242.36 MB","3.45%","34.31 MB","208.05 MB","0","0 B","894726","894.726","1.68 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0xf68d32bc2886f62b","16384","316","spu-kernel-hle","tiny-dispatch-trap","130","4","229426080","218.80 MB","3.11%","30.98 MB","187.82 MB","0","0 B","931718","931.718","1.68 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x4761323927fcb13","16384","305","spu-kernel-hle","tiny-dispatch-trap","131","4","223997424","213.62 MB","3.04%","31.21 MB","182.41 MB","0","0 B","893409","893.409","1.63 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x2c5fadfec0f0cb13","16384","305","spu-kernel-hle","tiny-dispatch-trap","128","4","218867712","208.73 MB","2.97%","30.50 MB","178.23 MB","0","0 B","778162","778.162","1.63 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0xb86b87ed0d1f8093","16384","173","spu-kernel-hle","tiny-dispatch-trap","123","6","202288752","192.92 MB","2.75%","29.31 MB","163.61 MB","0","0 B","1262466","1,262.466","1.57 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0xc27c7fd824c8354b","16384","306","spu-kernel-hle","tiny-dispatch-trap","115","4","197213040","188.08 MB","2.68%","27.40 MB","160.67 MB","0","0 B","722540","722.540","1.64 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0xff1468682a558093","16384","173","spu-kernel-hle","tiny-dispatch-trap","110","6","180908640","172.53 MB","2.46%","26.21 MB","146.32 MB","0","0 B","1277959","1,277.959","1.57 MB"
"profile-only","0x9e4000","0x637bd86e83c7d933","16384","305","spu-kernel-hle","tiny-dispatch-trap","102","1","179456352","171.14 MB","2.44%","24.30 MB","146.84 MB","0","0 B","696651","696.651","1.68 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x8bf74edab149354b","16384","306","spu-kernel-hle","tiny-dispatch-trap","101","4","173204496","165.18 MB","2.35%","24.07 MB","141.11 MB","0","0 B","630689","630.689","1.64 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x4b67e9a0b6538093","16384","173","spu-kernel-hle","tiny-dispatch-trap","104","6","171040896","163.12 MB","2.32%","24.78 MB","138.34 MB","0","0 B","910927","910.927","1.57 MB"
"profile-only","0x9e4000","0x1ab8ac861b5cd933","16384","305","spu-kernel-hle","tiny-dispatch-trap","92","1","161862592","154.36 MB","2.20%","21.92 MB","132.44 MB","0","0 B","679193","679.193","1.68 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x3f80928e6a918093","16384","173","spu-kernel-hle","tiny-dispatch-trap","94","6","154594656","147.43 MB","2.10%","22.40 MB","125.03 MB","0","0 B","919235","919.235","1.57 MB"
"profile-only","0x9e4000","0x6fe22f6f1b14d933","16384","305","spu-kernel-hle","tiny-dispatch-trap","85","1","149546960","142.62 MB","2.03%","20.25 MB","122.37 MB","0","0 B","516553","516.553","1.68 MB"
"profile-only","0x9e4000","0x2baa1e01e61d933","16384","305","spu-kernel-hle","tiny-dispatch-trap","84","1","147787584","140.94 MB","2.01%","20.02 MB","120.93 MB","0","0 B","484997","484.997","1.68 MB"
"profile-only","0x9e4000","0xf78730e1345b55b","16384","294","spu-kernel-hle","tiny-dispatch-trap","86","1","146583904","139.79 MB","1.99%","20.49 MB","119.30 MB","0","0 B","615826","615.826","1.63 MB"
"profile-only","0x9e4000","0xb50bded0b53355b","16384","294","spu-kernel-hle","tiny-dispatch-trap","84","1","143174976","136.54 MB","1.94%","20.02 MB","116.53 MB","0","0 B","518760","518.760","1.63 MB"
"profile-only","0x9e4000","0x518af699993af103","16384","305","spu-kernel-hle","tiny-dispatch-trap","81","1","142509456","135.91 MB","1.93%","19.30 MB","116.61 MB","0","0 B","537552","537.552","1.68 MB"
"profile-only","0x9e4000","0x6d6ae03541acb55b","16384","294","spu-kernel-hle","tiny-dispatch-trap","82","1","139766048","133.29 MB","1.90%","19.54 MB","113.75 MB","0","0 B","545813","545.813","1.63 MB"
"profile-only","0x9e4000","0x16566aac139cf103","16384","305","spu-kernel-hle","tiny-dispatch-trap","75","1","131953200","125.84 MB","1.79%","17.87 MB","107.97 MB","0","0 B","734977","734.977","1.68 MB"
"profile-only","0x9e4000","0x92c046f871df355b","16384","294","spu-kernel-hle","tiny-dispatch-trap","76","1","129539264","123.54 MB","1.76%","18.11 MB","105.43 MB","0","0 B","614222","614.222","1.63 MB"
"profile-only","0x9e4000","0x699ebd5be035e6b","16384","294","spu-kernel-hle","tiny-dispatch-trap","69","1","117608016","112.16 MB","1.60%","16.44 MB","95.72 MB","0","0 B","557298","557.298","1.63 MB"
"profile-only","0x9e4000","0xcaffc417825e5e6b","16384","294","spu-kernel-hle","tiny-dispatch-trap","67","1","114199088","108.91 MB","1.55%","15.96 MB","92.94 MB","0","0 B","593775","593.775","1.63 MB"
"profile-only","0x9e4000","0x6cf9c3008f9b6c1b","16384","316","spu-kernel-hle","tiny-dispatch-trap","30","1","52944480","50.49 MB","0.72%","7.15 MB","43.34 MB","0","0 B","232551","232.551","1.68 MB"
"profile-only","0x9e4000","0x3137dda27695777b","16384","306","spu-kernel-hle","tiny-dispatch-trap","30","1","51446880","49.06 MB","0.70%","7.15 MB","41.92 MB","0","0 B","144791","144.791","1.64 MB"
"profile-only","0x9e4000","0x87f031904359fdc3","16384","305","spu-kernel-hle","tiny-dispatch-trap","30","1","51297120","48.92 MB","0.70%","7.15 MB","41.77 MB","0","0 B","196286","196.286","1.63 MB"
"profile-only","0x9e4000","0xe5e89c4f23fbec1b","16384","316","spu-kernel-hle","tiny-dispatch-trap","29","1","51179664","48.81 MB","0.69%","6.91 MB","41.90 MB","0","0 B","234025","234.025","1.68 MB"
"profile-only","0x9e4000","0xcd91093c6363efd3","16384","317","spu-kernel-hle","tiny-dispatch-trap","27","1","47784816","45.57 MB","0.65%","6.43 MB","39.14 MB","0","0 B","151126","151.126","1.69 MB"
"profile-only","0x9e4000","0xe278270b0325f77b","16384","306","spu-kernel-hle","tiny-dispatch-trap","26","1","44587296","42.52 MB","0.61%","6.20 MB","36.33 MB","0","0 B","143560","143.560","1.64 MB"
"profile-only","0x9e4000","0xc953c293661777b","16384","306","spu-kernel-hle","tiny-dispatch-trap","26","1","44587296","42.52 MB","0.61%","6.20 MB","36.33 MB","0","0 B","151479","151.479","1.64 MB"
"profile-only","0x9e4000","0x732e76f7ccccfdc3","16384","305","spu-kernel-hle","tiny-dispatch-trap","21","1","35907984","34.24 MB","0.49%","5.00 MB","29.24 MB","0","0 B","153916","153.916","1.63 MB"
"profile-only","0x9e4000","0xddfaca39b4cdefd3","16384","317","spu-kernel-hle","tiny-dispatch-trap","20","1","35396160","33.76 MB","0.48%","4.77 MB","28.99 MB","0","0 B","147025","147.025","1.69 MB"
"profile-only","0x9e4000","0x55c53d2ef20a6c1b","16384","316","spu-kernel-hle","tiny-dispatch-trap","19","1","33531504","31.98 MB","0.46%","4.53 MB","27.45 MB","0","0 B","182672","182.672","1.68 MB"
"profile-only","0x9e4000","0x5d76713e3f0f7dc3","16384","305","spu-kernel-hle","tiny-dispatch-trap","19","1","32488176","30.98 MB","0.44%","4.53 MB","26.46 MB","0","0 B","184716","184.716","1.63 MB"
"profile-only","0x9e4000","0x638378d5232fec1b","16384","316","spu-kernel-hle","tiny-dispatch-trap","18","1","31766688","30.30 MB","0.43%","4.29 MB","26.01 MB","0","0 B","93504","93.504","1.68 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x792d71852e37dcff","16384","173","spu-kernel-hle","tiny-dispatch-trap","18","5","29619360","28.25 MB","0.40%","4.29 MB","23.96 MB","0","0 B","177625","177.625","1.57 MB"
"profile-only","0x9e4000","0x101e3f1b26ccf77b","16384","306","spu-kernel-hle","tiny-dispatch-trap","15","1","25723440","24.53 MB","0.35%","3.57 MB","20.96 MB","0","0 B","104993","104.993","1.64 MB"
"profile-only","0x9e4000","0x269adf0eeac1efd3","16384","317","spu-kernel-hle","tiny-dispatch-trap","14","1","24777312","23.63 MB","0.34%","3.34 MB","20.29 MB","0","0 B","144448","144.448","1.69 MB"
"profile-only","0x9e4000","0x2af4494ac8417dc3","16384","305","spu-kernel-hle","tiny-dispatch-trap","13","1","22228752","21.20 MB","0.30%","3.10 MB","18.10 MB","0","0 B","111619","111.619","1.63 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x26470bda5c81dcff","16384","173","spu-kernel-hle","tiny-dispatch-trap","13","5","21391760","20.40 MB","0.29%","3.10 MB","17.30 MB","0","0 B","151297","151.297","1.57 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x3a7a67fa73e2dcff","16384","173","spu-kernel-hle","tiny-dispatch-trap","12","6","19746240","18.83 MB","0.27%","2.86 MB","15.97 MB","0","0 B","94422","94.422","1.57 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x2c757b5c95b1a4a7","16384","172","spu-kernel-hle","tiny-dispatch-trap","10","6","16405280","15.65 MB","0.22%","2.38 MB","13.26 MB","0","0 B","63814","63.814","1.56 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x17e0ff971a75a4a7","16384","172","spu-kernel-hle","tiny-dispatch-trap","10","5","16405280","15.65 MB","0.22%","2.38 MB","13.26 MB","0","0 B","132022","132.022","1.56 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0xc0ca5fd13c98a4a7","16384","172","spu-kernel-hle","tiny-dispatch-trap","9","4","14764752","14.08 MB","0.20%","2.14 MB","11.94 MB","0","0 B","44433","44.433","1.56 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0xdce337194f7a4df3","16384","318","spu-kernel-hle","tiny-dispatch-trap","4","2","12818560","12.22 MB","0.17%","1.91 MB","10.32 MB","0","0 B","8868","8.868","3.06 MB"
"profile-only","0x9e4000","0xed0a6af3cd4befd3","16384","317","spu-kernel-hle","tiny-dispatch-trap","7","1","12388656","11.81 MB","0.17%","1.67 MB","10.15 MB","0","0 B","75126","75.126","1.69 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0xbe0eee4c2d7ea4a7","16384","172","spu-kernel-hle","tiny-dispatch-trap","7","3","11483696","10.95 MB","0.16%","1.67 MB","9.28 MB","0","0 B","69915","69.915","1.56 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x5d1df69d28beb333","16384","327","spu-kernel-hle","tiny-dispatch-trap","6","2","10621536","10.13 MB","0.14%","1.43 MB","8.70 MB","0","0 B","32180","32.180","1.69 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x49dc569c9b18f0ff","16384","160","spu-kernel-hle","tiny-dispatch-trap","6","6","9638496","9.19 MB","0.13%","1.43 MB","7.76 MB","0","0 B","8052","8.052","1.53 MB"
