"Hint","Ea","Pattern","MaxDmaSize","CmdCount","OffloadFit","DispatchRisk","Records","RunsSeen","TotalBytes","Total","ShareOf25cc","Get","Put","RsxBytes","Rsx","DurationUs","DurationMs","MaxJob"
"profile-only","0x9e4000","0xcc7e65126dc0fd7b","16384","328","spu-kernel-hle","tiny-dispatch-trap","2","1","3550496","3.39 MB","0.05%","488.00 KB","2.91 MB","0","0 B","30622","30.622","1.69 MB"
"profile-only","0x9e4000","0x94d86b295f63623","16384","327","spu-kernel-hle","tiny-dispatch-trap","2","1","3540512","3.38 MB","0.05%","488.00 KB","2.90 MB","0","0 B","3305","3.305","1.69 MB"
"profile-only","0x9e4000","0x2c8e491b7b45b623","16384","327","spu-kernel-hle","tiny-dispatch-trap","2","1","3540512","3.38 MB","0.05%","488.00 KB","2.90 MB","0","0 B","3559","3.559","1.69 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x5eb5cc76e96093d3","16384","341","spu-kernel-hle","tiny-dispatch-trap","2","2","3482400","3.32 MB","0.05%","488.00 KB","2.84 MB","0","0 B","23109","23.109","1.66 MB"
"profile-only","0x9e4000","0x16879b6b6ee6ef93","16384","329","spu-kernel-hle","tiny-dispatch-trap","2","1","3461536","3.30 MB","0.05%","488.00 KB","2.82 MB","0","0 B","3495","3.495","1.65 MB"
"profile-only","0x9e4000","0xf8321aca661211eb","16384","318","spu-kernel-hle","tiny-dispatch-trap","2","1","3450656","3.29 MB","0.05%","488.00 KB","2.81 MB","0","0 B","3339","3.339","1.65 MB"
"profile-only","0x9e4000","0x46e45388555a69cb","16384","318","spu-kernel-hle","tiny-dispatch-trap","2","1","3450656","3.29 MB","0.05%","488.00 KB","2.81 MB","0","0 B","34538","34.538","1.65 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0xfe09b8041f9c9853","16384","317","spu-kernel-hle","tiny-dispatch-trap","2","2","3440672","3.28 MB","0.05%","488.00 KB","2.80 MB","0","0 B","25621","25.621","1.64 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x8a5e3bcf2b36243","16384","317","spu-kernel-hle","tiny-dispatch-trap","2","2","3440672","3.28 MB","0.05%","488.00 KB","2.80 MB","0","0 B","3137","3.137","1.64 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x2e01f54af1d21167","16384","282","spu-kernel-hle","tiny-dispatch-trap","2","2","3389856","3.23 MB","0.05%","488.00 KB","2.76 MB","0","0 B","3482","3.482","1.62 MB"
"profile-only","0x9e4000","0x2b7fe1c06fa04223","16384","185","spu-kernel-hle","tiny-dispatch-trap","2","1","3310112","3.16 MB","0.04%","488.00 KB","2.68 MB","0","0 B","4184","4.184","1.58 MB"
"broaden-25cc-verify-ea-family","0x9e4000","0x527fd66781c7d03f","16384","175","spu-kernel-hle","tiny-dispatch-trap","2","2","3301632","3.15 MB","0.04%","488.00 KB","2.67 MB","0","0 B","18881","18.881","1.57 MB"
"profile-only","0x9e4000","0xe6393a60d7027983","16384","346","spu-kernel-hle","tiny-dispatch-trap","1","1","3289248","3.14 MB","0.04%","488.00 KB","2.66 MB","0","0 B","2115","2.115","3.14 MB"
"profile-only","0x9e4000","0xabfe30e8cac3d5fb","16384","345","spu-kernel-hle","tiny-dispatch-trap","1","1","3286048","3.13 MB","0.04%","488.00 KB","2.66 MB","0","0 B","33160","33.160","3.13 MB"
"profile-only","0x9e4000","0x1a22420712a774cb","16384","589","spu-kernel-hle","tiny-dispatch-trap","1","1","2979104","2.84 MB","0.04%","244.00 KB","2.60 MB","0","0 B","18210","18.210","2.84 MB"
"profile-only","0x9e4000","0x519f80e1576d74cb","16384","589","spu-kernel-hle","tiny-dispatch-trap","1","1","2979104","2.84 MB","0.04%","244.00 KB","2.60 MB","0","0 B","42028","42.028","2.84 MB"
"profile-only","0x9e4000","0x4443790463013d1b","16384","589","spu-kernel-hle","tiny-dispatch-trap","1","1","2979104","2.84 MB","0.04%","244.00 KB","2.60 MB","0","0 B","10745","10.745","2.84 MB"
"profile-only","0x9e4000","0x549931a017033ef3","16384","302","spu-kernel-hle","tiny-dispatch-trap","1","1","2954784","2.82 MB","0.04%","244.00 KB","2.58 MB","0","0 B","1851","1.851","2.82 MB"
"profile-only","0x9e4000","0xa73bf885b3cf169b","16384","285","spu-kernel-hle","tiny-dispatch-trap","1","1","2704032","2.58 MB","0.04%","244.00 KB","2.34 MB","0","0 B","2197","2.197","2.58 MB"
"profile-only","0x9e4000","0x95c79be5b1972ddb","16384","352","spu-kernel-hle","tiny-dispatch-trap","1","1","1796112","1.71 MB","0.02%","244.00 KB","1.47 MB","0","0 B","1964","1.964","1.71 MB"
"profile-only","0x9e4000","0xbd0609aa513fa383","16384","351","spu-kernel-hle","tiny-dispatch-trap","1","1","1791120","1.71 MB","0.02%","244.00 KB","1.47 MB","0","0 B","2289","2.289","1.71 MB"
